,Unnamed: 0,reviews,label
20497,20545,젊을 땐 뭘 해도 빛이 난다. 집은 포기해도 담배와 위스키는 포기하지 않는 미소의 모습이 자유로운 영혼처럼 보일 수 있지만 그대로 늙는다면 과연 그때도 그럴까? ,0
12722,12750,"무리하게 한국 스타일로 하기위해서 코믹 요소를 넣은게 문제구요 원작과 비교해서 연출,음악,배우 모든게 별로예요개인적으로 리틀 포레스트는 원작도 우리나라 버전도 좋았는데 이 영화는 별로였어요 원작 보시분들은 안보시...",0
131852,133066,"일단 구라라서 0.5 점 ,픽션이라고 꼬리 자르기엔 전 국민이 아는 워딩이라서 또 0.5 점 최종별점 1점짜리 선동무비 ",0
129135,130318,뒷통수맞음 ㅠ졸려요 기대한맘쿰운 아님 ,0
104919,105897,너무 스토리가 많아 산으로 갑니다 ,0
19251,19299,10점 준 새11끼들 전부 알바냐? 볼거리 ㅈ도 없더만 ,0
47702,48180,시간이랑 돈이 너무아까운영화..? 배우들 연기는 대단했지만 내용자체는 별로인영화 ,0
50221,50726,"정말 재미없습니다..상영관 독점이랑 마케팅성공했다고 말할수있겠네요,스토리부터 결말까지 매끄러운게 하나도없고 재미,웃음포인트 하나도 없이 무표정으로 봤습니다. 억지연출도 한몫한듯 하구요. 굉장히 아쉬웠습니다. ",0
8153,8178,왜 자꾸 저평점글은 삭제시키시는지요 ㅡㅡ ,0
53588,54127,이게 재밋냐?!?!?!? ,0
123137,124268,골빈 된장남녀 대상영화 여배우 둘다 집중안됨 ,0
23246,23300,"그냥 후짐, 왜 흑백으로 한거~ ",0
139847,141171,추천하면 여자친구 생겨서 영화보러 갔다가 헤어짐 ,0
11240,11267,10대들이 봐도 유치하다고 할 것 같다. 0점이 없어 1점 주는데 그마저도 아깝다. ,0
104213,105190,낚이지 마셈. 이거 짱깨산 신데렐라임. 평점도 작업들어간 거임.ㅋㅋㅋ. ,0
38664,39076,불필요한 욕설이 너무많다초반에 제목그대로의 악질경찰 이미지를보여줄수있는 부분이 욕하는거랑 폭력밖에없었나? 이선균연기도 이제 틀에 갇혀버렸다는생각이들었다 스토리나 액션도 후반가니 다 예상가능했고 이선균에게 자꾸 살아날...,0
21927,21975,알바 너무풀었다ㅋㄲㅡㄴ ,0
121605,122716,스토리에 설득력이 너무 없다.그냥 어거지로 꾸역꾸역 엮어가서 토할것만같다.길거리 녹음하는거 토나온다.좀 리얼하게 할순없었냐?코미디냐?원스 보고혹해서 봤다만 쓰레기다. ,0
44543,44988,1편과같은 혼이나갈듯한 긴장감 전혀없음. 빅뱅이론 섞어넣은 졸작.. ,0
66621,67308,동성애자 혐오 여성 혐오 발언이 가득한데 그게 웃음으로 소비된다는 게 화나고 속상하네요 ,0
60546,61122,"영상을 조잡하게 이어놓은 흐름,중간 중간 나오는 권오중씨의 모습(한번 만나뵜다는게 연관된 것의 전부입니다) 너무 불편했습니다. 감독님 반성하시고 부끄러워하십시요. 어떻게 옥한흠 목사님이라는 분을 모시고 이렇게밖에...",0
16516,16675,뭘담고싶었을까...뒤죽박죽 친아빠는 미국유학갔다 교수되서 온사람이 결혼도안하고 예전여자를 다시만나서 저런가는게 난도통이해가안감 ㅠㅠㅠ 그 남사친도 개불쌍.. 별로임 ,0
47434,47912,김민희연기는 정말 물이 올랐네요 그외에는 볼게없는 영화같네요 ,0
61829,62409,똥꼬충들 오지게 와서 댓글다네ㄷㄷㄷㄷ ,0
119945,121046,개연성도 없고.. 뻔한 스토리... ,0
139941,141265,"부산나와서, 마블딱지달고나와서 사람들이 이ㅈ노잼 망한영화를 돈주고봄.3번울었다 하품나와서울고 돈아까워서울고 시간아까워서 울었다 ",0
123106,124237,소재는 좋았는데 뭔가 연출이나 그런게 2류급 이란 말이지 별로임 ,0
62995,63602,노제미니...?10글자 ,0
